BioSample,Assay_Type,Organism,Run,Sample_Name,individual,sex,tissue,BioProject
SAMN11245723,WGS,Gambusia holbrooki,SRR8785932,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785933,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785511,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785512,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785749,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785750,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785751,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785752,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785753,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785754,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785757,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785857,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785858,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785888,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785889,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785890,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785891,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785892,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785893,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785910,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785911,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785913,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785914,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245724,WGS,Gambusia holbrooki,SRR8785915,G.hol._3F_H,20,female,head,PRJNA528814
SAMN11245709,RNA-Seq,Micropoecilia picta,SRR8785702,P.pic._5M_T,11,male,tail,PRJNA528814
SAMN11245709,RNA-Seq,Micropoecilia picta,SRR8785703,P.pic._5M_T,11,male,tail,PRJNA528814
SAMN11245709,RNA-Seq,Micropoecilia picta,SRR8785704,P.pic._5M_T,11,male,tail,PRJNA528814
SAMN11245709,RNA-Seq,Micropoecilia picta,SRR8785705,P.pic._5M_T,11,male,tail,PRJNA528814
SAMN11245705,RNA-Seq,Micropoecilia picta,SRR8785700,P.pic._1F_T,7,female,tail,PRJNA528814
SAMN11245705,RNA-Seq,Micropoecilia picta,SRR8785701,P.pic._1F_T,7,female,tail,PRJNA528814
SAMN11245705,RNA-Seq,Micropoecilia picta,SRR8785855,P.pic._1F_T,7,female,tail,PRJNA528814
SAMN11245705,RNA-Seq,Micropoecilia picta,SRR8785856,P.pic._1F_T,7,female,tail,PRJNA528814
SAMN11245708,RNA-Seq,Micropoecilia picta,SRR8785698,P.pic._3M_T,10,male,tail,PRJNA528814
SAMN11245708,RNA-Seq,Micropoecilia picta,SRR8785699,P.pic._3M_T,10,male,tail,PRJNA528814
SAMN11245708,RNA-Seq,Micropoecilia picta,SRR8785759,P.pic._3M_T,10,male,tail,PRJNA528814
SAMN11245708,RNA-Seq,Micropoecilia picta,SRR8785760,P.pic._3M_T,10,male,tail,PRJNA528814
SAMN11245710,RNA-Seq,Micropoecilia picta,SRR8785610,P.pic._6M_T,12,male,tail,PRJNA528814
SAMN11245710,RNA-Seq,Micropoecilia picta,SRR8785611,P.pic._6M_T,12,male,tail,PRJNA528814
SAMN11245710,RNA-Seq,Micropoecilia picta,SRR8785763,P.pic._6M_T,12,male,tail,PRJNA528814
SAMN11245710,RNA-Seq,Micropoecilia picta,SRR8785952,P.pic._6M_T,12,male,tail,PRJNA528814
SAMN11245706,RNA-Seq,Micropoecilia picta,SRR8785851,P.pic._2F_T,8,female,tail,PRJNA528814
SAMN11245706,RNA-Seq,Micropoecilia picta,SRR8785852,P.pic._2F_T,8,female,tail,PRJNA528814
SAMN11245706,RNA-Seq,Micropoecilia picta,SRR8785853,P.pic._2F_T,8,female,tail,PRJNA528814
SAMN11245706,RNA-Seq,Micropoecilia picta,SRR8785854,P.pic._2F_T,8,female,tail,PRJNA528814
SAMN11245707,RNA-Seq,Micropoecilia picta,SRR8785847,P.pic._4F_T,9,female,tail,PRJNA528814
SAMN11245707,RNA-Seq,Micropoecilia picta,SRR8785848,P.pic._4F_T,9,female,tail,PRJNA528814
SAMN11245707,RNA-Seq,Micropoecilia picta,SRR8785849,P.pic._4F_T,9,female,tail,PRJNA528814
SAMN11245707,RNA-Seq,Micropoecilia picta,SRR8785850,P.pic._4F_T,9,female,tail,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785706,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785707,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785708,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785710,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785711,P.pic._6M_H,12,male,head,PRJNA528814
