ref_Gambusia_2Female_RNA	ref_Gambusia_3Female_RNA	ref_Gambusia_4Female_RNA	ref_Gambusia_6Male_RNA	ref_Gambusia_7Male_RNA	ref_Gambusia_8Male_RNA	alt_Gambusia_2Female_RNA	alt_Gambusia_3Female_RNA	alt_Gambusia_4Female_RNA	alt_Gambusia_6Male_RNA	alt_Gambusia_7Male_RNA	alt_Gambusia_8Male_RNA	gene
7.193548387096773	3.6774193548387095	4.709677419354839	2.419354838709677	3.806451612903226	4.258064516129032	4.032258064516129	1.4193548387096775	2.064516129032258	1.2903225806451613	2.0	1.9677419354838708	ENSXMAG00000006633
2.0553359683794468	1.4268774703557312	7.8181818181818175	5.632411067193676	3.5454545454545454	2.0197628458498023	0.8616600790513834	0.6640316205533597	3.4466403162055337	2.5573122529644268	1.5296442687747036	0.9367588932806324	ENSXMAG00000003821
6.364963503649635	6.343065693430657	10.802919708029195	12.700729927007297	6.510948905109488	3.956204379562044	2.3138686131386863	2.2846715328467155	4.029197080291971	4.591240875912408	2.240875912408759	1.3503649635036497	ENSXMAG00000003842
												ENSXMAG00000028238
3.136363636363636	2.331168831168831	3.98051948051948	3.5389610389610384	2.948051948051948	2.9545454545454546	0.8376623376623377	0.6038961038961039	1.0454545454545454	1.0064935064935066	0.8246753246753247	0.8246753246753247	ENSXMAG00000003857
4.0	2.175	4.25	5.8	3.575	3.75	1.9	0.875	2.175	2.85	2.4	1.575	ENSXMAG00000025577
4.728971962616822	1.7757009345794392	4.878504672897196	4.654205607476635	3.7289719626168223	4.196261682242992	1.7289719626168225	0.6915887850467289	1.514018691588785	1.7289719626168225	1.2990654205607477	1.5607476635514017	ENSXMAG00000021878
15.317757009345796	7.5794392523364476	14.280373831775703	13.271028037383175	11.813084112149534	12.813084112149534	3.7102803738317762	2.420560747663552	3.8971962616822435	3.7570093457943927	3.3457943925233646	3.3457943925233646	ENSXMAG00000008214
												ENSXMAG00000028028
4.6991150442477885	1.327433628318584	3.1415929203539825	4.230088495575221	4.911504424778762	4.911504424778762	1.4867256637168142	0.4690265486725664	0.9557522123893806	1.353982300884956	1.663716814159292	1.3716814159292037	ENSXMAG00000015864
												ENSXMAG00000023560
18.69230769230769	9.423076923076923	13.076923076923075	13.961538461538463	18.115384615384613	23.961538461538463	4.730769230769232	2.3846153846153846	3.0	4.0	4.038461538461538	5.115384615384615	ENSXMAG00000022873
67.584	56.632	42.144	53.8	57.232	46.2	16.264	13.4	10.024	13.208	13.815999999999999	11.735999999999999	ENSXMAG00000000163
29.357142857142854	16.547619047619047	21.071428571428573	16.238095238095234	28.095238095238088	29.904761904761905	9.761904761904765	5.9523809523809526	7.071428571428571	5.547619047619048	8.642857142857142	10.642857142857142	ENSXMAG00000000156
												ENSXMAG00000029525
												ENSXMAG00000000148
77.0	32.54347826086956	45.8804347826087	30.15217391304348	58.57608695652174	70.95652173913044	15.0	6.521739130434782	8.891304347826088	5.782608695652174	11.673913043478262	12.880434782608695	ENSXMAG00000000146
4.0	0.0	1.5	3.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	ENSXMAG00000027955
24.11559633027523	9.080733944954128	13.135779816513761	10.025688073394496	15.625688073394494	16.26238532110092	5.440366972477063	1.9559633027522936	2.8880733944954127	2.385321100917431	3.255045871559633	3.9651376146788992	ENSXMAG00000000134
4.336842105263158	0.9894736842105264	1.6631578947368422	2.5368421052631582	3.2	4.010526315789473	1.7052631578947368	0.42105263157894735	0.7368421052631579	1.0736842105263158	1.2842105263157897	1.4105263157894736	ENSXMAG00000011712
22.288590604026847	12.865771812080537	19.308724832214764	15.026845637583893	24.838926174496645	26.523489932885905	4.7919463087248335	3.0	4.194630872483222	3.2281879194630867	5.7852348993288585	5.9664429530201355	ENSXMAG00000027839
34.56284153005465	24.945355191256827	35.77322404371586	35.475409836065566	31.863387978142075	42.502732240437155	10.385245901639344	7.420765027322403	10.926229508196721	10.133879781420763	8.803278688524589	13.027322404371587	ENSXMAG00000029375
32.23809523809524	19.15873015873016	23.25396825396825	20.19047619047619	31.50793650793651	31.73015873015873	18.33333333333333	11.238095238095235	14.825396825396824	11.761904761904766	19.26984126984127	19.31746031746032	ENSXMAG00000024582
27.77083333333333	18.04861111111111	22.42361111111111	20.027777777777782	30.444444444444446	27.95833333333333	13.6875	8.319444444444445	11.0	9.513888888888891	14.291666666666664	13.673611111111109	ENSXMAG00000025970
												ENSXMAG00000011777
												ENSXMAG00000029541
21.008474576271187	17.89830508474576	23.54237288135593	30.627118644067803	18.19491525423729	21.940677966101696	6.296610169491526	5.3559322033898304	7.483050847457628	9.584745762711863	5.3474576271186445	6.2542372881355925	ENSXMAG00000017430
												ENSXMAG00000026595
												ENSXMAG00000025900
